ctx-rh-R_3b_ROI	R_3b
ctx-rh-R_FEF_ROI	R_FEF
ctx-rh-R_PEF_ROI	R_PEF
ctx-rh-R_55b_ROI	R_55b
ctx-rh-R_V3A_ROI	R_V3A
ctx-rh-R_RSC_ROI	R_RSC
ctx-rh-R_POS2_ROI	R_POS2
ctx-rh-R_V7_ROI	R_V7
ctx-rh-R_IPS1_ROI	R_IPS1
ctx-rh-R_FFC_ROI	R_FFC
ctx-rh-R_V3B_ROI	R_V3B
ctx-rh-R_LO1_ROI	R_LO1
ctx-rh-R_LO2_ROI	R_LO2
ctx-rh-R_PIT_ROI	R_PIT
ctx-rh-R_MT_ROI	R_MT
ctx-rh-R_A1_ROI	R_A1
ctx-rh-R_PSL_ROI	R_PSL
ctx-rh-R_SFL_ROI	R_SFL
ctx-rh-R_PCV_ROI	R_PCV
ctx-rh-R_STV_ROI	R_STV
ctx-rh-R_7Pm_ROI	R_7Pm
ctx-rh-R_7m_ROI	R_7m
ctx-rh-R_POS1_ROI	R_POS1
ctx-rh-R_23d_ROI	R_23d
ctx-rh-R_v23ab_ROI	R_v23ab
ctx-rh-R_d23ab_ROI	R_d23ab
ctx-rh-R_31pv_ROI	R_31pv
ctx-rh-R_5m_ROI	R_5m
ctx-rh-R_5mv_ROI	R_5mv
ctx-rh-R_23c_ROI	R_23c
ctx-rh-R_5L_ROI	R_5L
ctx-rh-R_24dd_ROI	R_24dd
ctx-rh-R_24dv_ROI	R_24dv
ctx-rh-R_7AL_ROI	R_7AL
ctx-rh-R_SCEF_ROI	R_SCEF
ctx-rh-R_6ma_ROI	R_6ma
ctx-rh-R_7Am_ROI	R_7Am
ctx-rh-R_7PL_ROI	R_7PL
ctx-rh-R_7PC_ROI	R_7PC
ctx-rh-R_LIPv_ROI	R_LIPv
ctx-rh-R_VIP_ROI	R_VIP
ctx-rh-R_MIP_ROI	R_MIP
ctx-rh-R_1_ROI	R_1
ctx-rh-R_2_ROI	R_2
ctx-rh-R_3a_ROI	R_3a
ctx-rh-R_6d_ROI	R_6d
ctx-rh-R_6mp_ROI	R_6mp
ctx-rh-R_6v_ROI	R_6v
ctx-rh-R_p24pr_ROI	R_p24pr
ctx-rh-R_33pr_ROI	R_33pr
ctx-rh-R_a24pr_ROI	R_a24pr
ctx-rh-R_p32pr_ROI	R_p32pr
ctx-rh-R_a24_ROI	R_a24
ctx-rh-R_d32_ROI	R_d32
ctx-rh-R_8BM_ROI	R_8BM
ctx-rh-R_p32_ROI	R_p32
ctx-rh-R_10r_ROI	R_10r
ctx-rh-R_47m_ROI	R_47m
ctx-rh-R_8Av_ROI	R_8Av
ctx-rh-R_8Ad_ROI	R_8Ad
ctx-rh-R_9m_ROI	R_9m
ctx-rh-R_8BL_ROI	R_8BL
ctx-rh-R_9p_ROI	R_9p
ctx-rh-R_10d_ROI	R_10d
ctx-rh-R_8C_ROI	R_8C
ctx-rh-R_44_ROI	R_44
ctx-rh-R_45_ROI	R_45
ctx-rh-R_47l_ROI	R_47l
ctx-rh-R_a47r_ROI	R_a47r
ctx-rh-R_6r_ROI	R_6r
ctx-rh-R_IFJa_ROI	R_IFJa
ctx-rh-R_IFJp_ROI	R_IFJp
ctx-rh-R_IFSp_ROI	R_IFSp
ctx-rh-R_IFSa_ROI	R_IFSa
ctx-rh-R_p9-46v_ROI	R_p9-46v
ctx-rh-R_46_ROI	R_46
ctx-rh-R_a9-46v_ROI	R_a9-46v
ctx-rh-R_9-46d_ROI	R_9-46d
ctx-rh-R_9a_ROI	R_9a
ctx-rh-R_10v_ROI	R_10v
ctx-rh-R_a10p_ROI	R_a10p
ctx-rh-R_10pp_ROI	R_10pp
ctx-rh-R_11l_ROI	R_11l
ctx-rh-R_13l_ROI	R_13l
ctx-rh-R_OFC_ROI	R_OFC
ctx-rh-R_47s_ROI	R_47s
ctx-rh-R_LIPd_ROI	R_LIPd
ctx-rh-R_6a_ROI	R_6a
ctx-rh-R_i6-8_ROI	R_i6-8
ctx-rh-R_s6-8_ROI	R_s6-8
ctx-rh-R_43_ROI	R_43
ctx-rh-R_OP4_ROI	R_OP4
ctx-rh-R_OP1_ROI	R_OP1
ctx-rh-R_OP2-3_ROI	R_OP2-3
ctx-rh-R_52_ROI	R_52
ctx-rh-R_RI_ROI	R_RI
ctx-rh-R_PFcm_ROI	R_PFcm
ctx-rh-R_PoI2_ROI	R_PoI2
ctx-rh-R_TA2_ROI	R_TA2
ctx-rh-R_FOP4_ROI	R_FOP4
ctx-rh-R_MI_ROI	R_MI
ctx-rh-R_Pir_ROI	R_Pir
ctx-rh-R_AVI_ROI	R_AVI
ctx-rh-R_AAIC_ROI	R_AAIC
ctx-rh-R_FOP1_ROI	R_FOP1
ctx-rh-R_FOP3_ROI	R_FOP3
ctx-rh-R_FOP2_ROI	R_FOP2
ctx-rh-R_PFt_ROI	R_PFt
ctx-rh-R_AIP_ROI	R_AIP
ctx-rh-R_EC_ROI	R_EC
ctx-rh-R_PreS_ROI	R_PreS
ctx-rh-R_H_ROI	R_H
